term,total_hits
(vets*) AND PTSD,3536
(vets*) AND shell shock,715
(vets*) AND battle fatigue,260
(vets*) AND neurasthenia,175
(vets*) AND (post) Vietnam syndrome,142
(vets*) AND soldier's heart,65
(vets*) AND war_neurosis,31
(vets*) AND anxiety neurosis,12
(vets*) AND battle dream,6
(vets*) AND camp disease,4
(vets*) AND effort syndrome,4
(vets*) AND traumatic neurosis,3
(vets*) AND battle exhaustion,2
(vets*) AND combat stress reaction,2
(vets*) AND psychasthenia,2
(vets*) AND barbed-wire disease,1
(vets*) AND functional nervous disorder,1
(vets*) AND lack of moral fibre,1
(vets*) AND barbed-wire psychosis,0
(vets*) AND bomb neurosis,0
(vets*) AND Disordered_Action_of_Heart,0
(vets*) AND gross stress reaction,0
(vets*) AND hyperemotivity,0
(vets*) AND perpetual bogey,0
(vets*) AND railway spine,0
(vets*) AND vegetative neurosis,0
